iteration	winner
0	PLTR
1	PLTR
2	PLTR
3	PLTR
4	PLTR
5	PLTR
6	NVDA
7	PLTR
8	PLTR
9	PLTR
10	NVDA
11	PLTR
12	PLTR
13	PLTR
14	PLTR
15	PLTR
16	PLTR
17	PLTR
18	PLTR
19	NVDA
20	NVDA
21	PLTR
22	PLTR
23	PLTR
24	PLTR
25	PLTR
26	PLTR
27	NVDA
28	PLTR
29	PLTR
30	PLTR
31	NVDA
32	PLTR
33	PLTR
34	NVDA
35	PLTR
36	NVDA
37	PLTR
38	PLTR
39	PLTR
40	NVDA
41	PLTR
42	AAPL
43	PLTR
44	PLTR
45	PLTR
46	PLTR
47	PLTR
48	PLTR
49	NVDA
50	PLTR
51	PLTR
52	PLTR
53	NVDA
54	NVDA
55	PLTR
56	PLTR
57	PLTR
58	PLTR
59	PLTR
60	PLTR
61	PLTR
62	PLTR
63	NVDA
64	PLTR
65	PLTR
66	NVDA
67	PLTR
68	NVDA
69	PLTR
70	PLTR
71	PLTR
72	PLTR
73	PLTR
74	PLTR
75	PLTR
76	PLTR
77	PLTR
78	PLTR
79	PLTR
80	PLTR
81	PLTR
82	PLTR
83	PLTR
84	PLTR
85	NVDA
86	PLTR
87	PLTR
88	PLTR
89	PLTR
90	PLTR
91	NVDA
92	NVDA
93	PLTR
94	PLTR
95	PLTR
96	PLTR
97	PLTR
98	PLTR
99	PLTR
100	PLTR
101	NVDA
102	PLTR
103	PLTR
104	PLTR
105	PLTR
106	NVDA
107	PLTR
108	PLTR
109	PLTR
110	PLTR
111	PLTR
112	PLTR
113	PLTR
114	PLTR
115	NVDA
116	PLTR
117	PLTR
118	PLTR
119	PLTR
120	PLTR
121	PLTR
122	PLTR
123	PLTR
124	PLTR
125	NVDA
126	PLTR
127	PLTR
128	PLTR
129	PLTR
130	PLTR
131	PLTR
132	PLTR
133	PLTR
134	PLTR
135	PLTR
136	NVDA
137	PLTR
138	NVDA
139	PLTR
140	PLTR
141	PLTR
142	PLTR
143	PLTR
144	NVDA
145	PLTR
146	PLTR
147	PLTR
148	PLTR
149	PLTR
150	PLTR
151	PLTR
152	PLTR
153	PLTR
154	PLTR
155	NVDA
156	NVDA
157	NVDA
158	PLTR
159	PLTR
160	PLTR
161	PLTR
162	PLTR
163	PLTR
164	NVDA
165	PLTR
166	PLTR
167	PLTR
168	PLTR
169	PLTR
170	PLTR
171	NVDA
172	PLTR
173	PLTR
174	NVDA
175	NVDA
176	PLTR
177	PLTR
178	NVDA
179	PLTR
180	PLTR
181	PLTR
182	PLTR
183	NVDA
184	PLTR
185	PLTR
186	PLTR
187	NVDA
188	PLTR
189	PLTR
190	PLTR
191	NVDA
192	PLTR
193	PLTR
194	PLTR
195	PLTR
196	PLTR
197	PLTR
198	PLTR
199	PLTR
200	PLTR
201	PLTR
202	PLTR
203	PLTR
204	PLTR
205	NVDA
206	PLTR
207	PLTR
208	PLTR
209	PLTR
210	PLTR
211	PLTR
212	PLTR
213	PLTR
214	PLTR
215	PLTR
216	PLTR
217	PLTR
218	PLTR
219	PLTR
220	PLTR
221	PLTR
222	PLTR
223	PLTR
224	PLTR
225	PLTR
226	PLTR
227	PLTR
228	PLTR
229	PLTR
230	PLTR
231	PLTR
232	NVDA
233	PLTR
234	PLTR
235	PLTR
236	PLTR
237	PLTR
238	PLTR
239	PLTR
240	PLTR
241	PLTR
242	PLTR
243	PLTR
244	PLTR
245	PLTR
246	PLTR
247	PLTR
248	PLTR
249	PLTR
250	PLTR
251	PLTR
252	PLTR
253	PLTR
254	PLTR
255	PLTR
256	PLTR
257	PLTR
258	PLTR
259	PLTR
260	PLTR
261	PLTR
262	PLTR
263	NVDA
264	PLTR
265	PLTR
266	PLTR
267	PLTR
268	PLTR
269	PLTR
270	PLTR
271	PLTR
272	PLTR
273	PLTR
274	PLTR
275	PLTR
276	PLTR
277	PLTR
278	NVDA
279	PLTR
280	NVDA
281	PLTR
282	PLTR
283	PLTR
284	NVDA
285	PLTR
286	PLTR
287	PLTR
288	PLTR
289	PLTR
290	PLTR
291	PLTR
292	NVDA
293	PLTR
294	PLTR
295	PLTR
296	PLTR
297	PLTR
298	PLTR
299	PLTR
300	PLTR
301	PLTR
302	PLTR
303	NVDA
304	NVDA
305	PLTR
306	PLTR
307	PLTR
308	PLTR
309	PLTR
310	PLTR
311	PLTR
312	PLTR
313	PLTR
314	PLTR
315	PLTR
316	PLTR
317	PLTR
318	PLTR
319	PLTR
320	PLTR
321	PLTR
322	PLTR
323	PLTR
324	PLTR
325	PLTR
326	PLTR
327	PLTR
328	PLTR
329	PLTR
330	NVDA
331	PLTR
332	NVDA
333	NVDA
334	PLTR
335	PLTR
336	PLTR
337	PLTR
338	PLTR
339	PLTR
340	PLTR
